name,size,author_date,nfiles,sha,ninsertions,ndeletions,ntotal_changes,tarball_url
v2.1.0,1052,2017-10-25 18:52:19,242,55e2d9f81c4d40ed0115a0fda2cc853dced1b3fb,48643,0,48643,https://api.github.com/repos/Mantevo/miniFE/tarball/refs/tags/v2.1.0
v2.0.0,1052,2016-07-05 22:29:39,218,8cabd16107839a8d6028d09402a283d684a508c6,43782,0,43782,https://api.github.com/repos/Mantevo/miniFE/tarball/refs/tags/v2.0.0
2.2.0,1052,2017-11-22 23:28:04,300,a322da6d63eaab86b471f9d76453d4e8b0f6c3ac,273,115200,115473,https://api.github.com/repos/Mantevo/miniFE/tarball/refs/tags/2.2.0
