None,coderzbx,seg-mxnet,,https://github.com/coderzbx/seg-mxnet.git,03/19/21 04:43 PM,1,0,1388,2473,16043,227904,168780,4593,738628
None,KEK-Co,Parallel_programming_2020_CI,,https://github.com/KEK-Co/Parallel_programming_2020_CI.git,03/19/21 04:43 PM,0,0,0,3,0,46292,2895,0,54870
None,rhkdqo93,LP,,https://github.com/rhkdqo93/LP.git,03/19/21 04:43 PM,1,0,14,2,457,95336,42620,0,290585
None,marufdsi,Partitioning_Tools,,https://github.com/marufdsi/Partitioning_Tools.git,03/19/21 04:43 PM,0,0,0,153,67079,2245,16482,0,86932
None,nalzok,xgboost-R,,https://github.com/nalzok/xgboost-R.git,03/19/21 04:43 PM,0,0,38,102,85,15140,19621,0,48836
None,mkurnosov,mpiperf,,https://github.com/mkurnosov/mpiperf.git,03/19/21 04:43 PM,0,0,0,0,6271,30,1136,0,7772
None,nchong,icliggghts,,https://github.com/nchong/icliggghts.git,03/19/21 04:43 PM,0,0,59,4,8010,147107,28502,10654,380498
None,Nek5000,nekBench,,https://github.com/Nek5000/nekBench.git,03/19/21 04:43 PM,10,0,6,7,10520,53659,23273,19526,111352
None,grw300,DataMining,,https://github.com/grw300/DataMining.git,03/19/21 04:43 PM,0,0,0,87,23,13469,9716,0,43064
None,kaigeyazhu,CAFFE2,,https://github.com/kaigeyazhu/CAFFE2.git,03/19/21 04:43 PM,1,0,627,0,2753,83310,66679,0,282839
None,xpo454,Caffe2,,https://github.com/xpo454/Caffe2.git,03/19/21 04:43 PM,0,0,279,0,0,38997,29490,0,141670
None,joshua4289,scipion_1_2_headless,,https://github.com/joshua4289/scipion_1_2_headless.git,03/19/21 04:43 PM,0,0,0,0,1299,384109,59792,0,700434
None,chaos,slurm,,https://github.com/chaos/slurm.git,03/19/21 04:43 PM,0,0,0,0,296737,1614,21207,0,378485
None,westondhill,bc_mr_gpu,,https://github.com/westondhill/bc_mr_gpu.git,03/19/21 04:43 PM,226,0,1187,59,3129,181558,131104,3,385273
None,intel,llvm,,https://github.com/intel/llvm.git,03/19/21 04:43 PM,755,0,4409,3882,11397459,13710367,18738837,1406871,76077044
None,pykao,pytorch-v0.4.0,,https://github.com/pykao/pytorch-v0.4.0.git,03/19/21 04:43 PM,1,0,1754,183,31355,134936,100273,1528,514184
None,lanl,lampi,,https://github.com/lanl/lampi.git,03/19/21 04:43 PM,0,0,0,0,52806,45692,21062,4,144051
None,starimpact,mxnet_v1.0.0,,https://github.com/starimpact/mxnet_v1.0.0.git,03/19/21 04:43 PM,1,0,1380,76,205,82063,92772,0,428280
None,guanjen375,tvm,,https://github.com/guanjen375/tvm.git,03/19/21 04:43 PM,2,0,14,2,240,97566,44153,0,297685
None,cardwing,Codes-for-IntRA-KD,,https://github.com/cardwing/Codes-for-IntRA-KD.git,03/19/21 04:43 PM,0,0,5,0,90,0,36,0,3035
None,RWTH-OS,MP-MPICH,,https://github.com/RWTH-OS/MP-MPICH.git,03/19/21 04:43 PM,0,0,0,0,280146,39180,39825,8704,706383
None,mzl13,Lithium,,https://github.com/mzl13/Lithium.git,03/19/21 04:43 PM,0,0,29,597,6996,105674,69603,55791,250021
None,aosm,openmpi,,https://github.com/aosm/openmpi.git,03/19/21 04:43 PM,0,0,0,0,194630,2036,39451,96,565828
None,VBaricHB,DEM,,https://github.com/VBaricHB/DEM.git,03/19/21 04:43 PM,927,0,534,1,495,164896,67653,13221,351192
None,miguelbermudez,mb-janus,,https://github.com/miguelbermudez/mb-janus.git,03/19/21 04:43 PM,3,0,1,0,0,50107,388294,0,472041
None,nishanthkumar23,caffe,,https://github.com/nishanthkumar23/caffe.git,03/19/21 04:43 PM,0,0,181,0,0,33410,26377,0,117772
None,tfwu,FaceDetection-ConvNet-3D,,https://github.com/tfwu/FaceDetection-ConvNet-3D.git,03/19/21 04:43 PM,0,0,23,14,0,15440,30850,0,99716
None,cc-hpc-itwm,tarantella,,https://github.com/cc-hpc-itwm/tarantella.git,03/19/21 04:43 PM,0,0,0,0,0,3876,1484,0,9657
None,hunsa,reprompi,,https://github.com/hunsa/reprompi.git,03/19/21 04:43 PM,0,0,0,0,7456,0,704,0,9256
None,jaschil2,QMCDB-Josh,,https://github.com/jaschil2/QMCDB-Josh.git,03/19/21 04:43 PM,0,0,0,0,0,61566,13794,132,99320
None,xcgoner,ps-mxnet-new,,https://github.com/xcgoner/ps-mxnet-new.git,03/19/21 04:43 PM,0,0,35,15,0,19088,42479,0,147162
None,SuryaGrandhi,doc_aug21,,https://github.com/SuryaGrandhi/doc_aug21.git,03/19/21 04:43 PM,40,0,545,179,0,69026,23596,0,677147
None,jeffhammond,a1,,https://github.com/jeffhammond/a1.git,03/19/21 04:43 PM,0,0,0,0,67350,127,27608,847471,944635
None,koibiki,Launcher3-7.0,,https://github.com/koibiki/Launcher3-7.0.git,03/19/21 04:43 PM,59,0,0,193,0,9950,9921,0,73096
None,dkogler,hpx5-measurement-tests,,https://github.com/dkogler/hpx5-measurement-tests.git,03/19/21 04:43 PM,3,0,0,0,86825,1517,39757,0,267237
None,dmlc,rabit,,https://github.com/dmlc/rabit.git,03/19/21 04:43 PM,0,0,0,0,0,3505,2217,0,7304
None,steverogers-shang,MPI_KMC,,https://github.com/steverogers-shang/MPI_KMC.git,03/19/21 04:43 PM,0,0,0,0,0,12217,2358,0,16795
None,hcyang99,horovod,,https://github.com/hcyang99/horovod.git,03/19/21 04:43 PM,3,0,67,4,4177,147270,328328,24137,727375
None,henricasanova,simgrid_data_redundancy,,https://github.com/henricasanova/simgrid_data_redundancy.git,03/19/21 04:43 PM,0,0,0,0,99114,54290,19586,11224,206320
None,sst-elements,zodiac,,https://github.com/sst-elements/zodiac.git,03/19/21 04:43 PM,0,0,0,0,154,1198,804,0,6954
None,Improbus,CPEG614,,https://github.com/Improbus/CPEG614.git,03/19/21 04:43 PM,0,0,1,63,219823,100278,84989,0,757481
None,hppritcha,ompi_async_sandbox,,https://github.com/hppritcha/ompi_async_sandbox.git,03/19/21 04:43 PM,0,0,0,140,570248,34621,105150,18215,860087
None,cukol,slurm_simulator,,https://github.com/cukol/slurm_simulator.git,03/19/21 04:43 PM,0,0,0,0,381947,3258,25306,0,476478
None,js-fan,mxnet,,https://github.com/js-fan/mxnet.git,03/19/21 04:43 PM,1,0,1412,2571,15786,242465,176336,4593,775372
None,neoncrash,ESNek5000,,https://github.com/neoncrash/ESNek5000.git,03/19/21 04:43 PM,0,0,0,0,13875,0,554,175657,195870
None,grondo,mvapich-cce,,https://github.com/grondo/mvapich-cce.git,03/19/21 04:43 PM,0,0,0,0,247690,81846,42243,8122,637478
None,ebi184,caffee2,,https://github.com/ebi184/caffee2.git,03/19/21 04:43 PM,2,0,1941,189,17382,193986,127626,1528,637262
None,CNevd,FM_DMLC,,https://github.com/CNevd/FM_DMLC.git,03/19/21 04:43 PM,0,0,0,10,0,6047,7486,0,19338
None,hajimefu,mpich-mirror,,https://github.com/hajimefu/mpich-mirror.git,03/19/21 04:43 PM,0,0,0,0,317375,8423,151639,39416,581718
None,gonzalorodrigo,ScSFSimulator,,https://github.com/gonzalorodrigo/ScSFSimulator.git,03/19/21 04:43 PM,0,0,0,0,350353,3220,24283,0,443323
None,LLNL,MPI-Stages,,https://github.com/LLNL/MPI-Stages.git,03/19/21 04:43 PM,0,0,0,0,0,3232,12916,0,16330
None,blackjack2016,pytroch,,https://github.com/blackjack2016/pytroch.git,03/19/21 04:43 PM,2,0,1692,107,33057,362333,192006,0,980496
None,garethcmurphy,pluto_backup,,https://github.com/garethcmurphy/pluto_backup.git,03/19/21 04:43 PM,0,0,0,0,43258,4030,10751,0,181569
None,petrex,rocm_caffe2,,https://github.com/petrex/rocm_caffe2.git,03/19/21 04:43 PM,1,0,595,0,2646,78723,59633,0,242247
None,uswick,presta_HMPI,,https://github.com/uswick/presta_HMPI.git,03/19/21 04:43 PM,0,0,0,37,5732,0,82,0,8931
None,churli,parallel-programming-assignments,,https://github.com/churli/parallel-programming-assignments.git,03/19/21 04:43 PM,0,0,0,13,5064,177,1082,0,6845
None,ElmerCSC,Zoltan,,https://github.com/ElmerCSC/Zoltan.git,03/19/21 04:43 PM,0,0,0,0,70130,4372,6879,6633,132047
None,wvannoordt,HyWall,,https://github.com/wvannoordt/HyWall.git,03/19/21 04:43 PM,0,0,5,0,0,4622,1754,266,7671
None,sstsimulator,sst-gpl-skeletons,,https://github.com/sstsimulator/sst-gpl-skeletons.git,03/19/21 04:43 PM,0,0,6,26,7979,4674,10253,0,23499
None,NLAFET,preAlps,,https://github.com/NLAFET/preAlps.git,03/19/21 04:43 PM,0,0,0,0,14972,0,1318,0,17361
None,andrewwdye,gloo,,https://github.com/andrewwdye/gloo.git,03/19/21 04:43 PM,0,0,7,0,0,5672,4132,0,11640
None,Nek5000,Nek5000,,https://github.com/Nek5000/Nek5000.git,03/19/21 04:43 PM,0,0,0,8,15487,0,720,183390,204232
None,JulianDomingo,EE360P,,https://github.com/JulianDomingo/EE360P.git,03/19/21 04:43 PM,0,0,0,0,314042,8362,42285,39106,470062
None,spsweeney,Work-open-mpi,,https://github.com/spsweeney/Work-open-mpi.git,03/19/21 04:43 PM,0,0,0,0,572644,779,103668,18494,773749
None,NanoComp,mpb,,https://github.com/NanoComp/mpb.git,03/19/21 04:43 PM,0,0,0,0,12269,0,993,0,22143
None,yfguo,mpich-migrate-test,,https://github.com/yfguo/mpich-migrate-test.git,03/19/21 04:43 PM,0,0,0,0,315608,8423,117563,39416,545135
None,artpol84,ompi-timings,,https://github.com/artpol84/ompi-timings.git,03/19/21 04:43 PM,0,0,0,140,565406,34621,101895,18138,860131
None,hpc,cce-mpi-openmpi-1.6.4,,https://github.com/hpc/cce-mpi-openmpi-1.6.4.git,03/19/21 04:43 PM,0,0,0,140,356040,34583,69168,358,772538
None,humairakamal,fgmpi,,https://github.com/humairakamal/fgmpi.git,03/19/21 04:43 PM,0,0,0,0,329518,8417,43820,39399,493855
None,hrishikeshmalkar,sales_forecasting_web_app,,https://github.com/hrishikeshmalkar/sales_forecasting_web_app.git,03/19/21 04:43 PM,0,0,1309,82,215,31794,28432,0,162069
None,zhonghual1206,horvodval,,https://github.com/zhonghual1206/horvodval.git,03/19/21 04:43 PM,3,0,67,4,4177,144796,326515,24137,713188
None,Bob-Ding-cn,baidu-allreduce,,https://github.com/Bob-Ding-cn/baidu-allreduce.git,03/19/21 04:43 PM,0,0,1,0,0,213,40,0,520
None,rolfverberg,Programs,,https://github.com/rolfverberg/Programs.git,03/19/21 04:43 PM,0,0,0,0,0,7025,6888,0,13989
None,arcadeon707,pytorch,,https://github.com/arcadeon707/pytorch.git,03/19/21 04:43 PM,2,0,1651,244,19380,226474,144149,0,674635
None,ramyasree9,Parallel-programming,,https://github.com/ramyasree9/Parallel-programming.git,03/19/21 04:43 PM,0,0,0,13,3949,659,5,0,5857
None,SCIInstitute,muView,,https://github.com/SCIInstitute/muView.git,03/19/21 04:43 PM,0,0,17,37,33899,122491,60961,0,315414
None,cot,eztrace-test,,https://github.com/cot/eztrace-test.git,03/19/21 04:43 PM,0,0,0,1002,52900,16889,14781,1777,342764
None,netbench,GPCNET,,https://github.com/netbench/GPCNET.git,03/19/21 04:43 PM,0,0,0,0,2172,0,141,0,2410
None,seokinhong,sst-elements,,https://github.com/seokinhong/sst-elements.git,03/19/21 04:43 PM,0,0,0,3,822,58747,27981,0,124745
None,OpenFOAM,ThirdParty-7,,https://github.com/OpenFOAM/ThirdParty-7.git,03/19/21 04:43 PM,0,0,0,0,73436,0,6923,90,100849
None,geodynamics,pylith,,https://github.com/geodynamics/pylith.git,03/19/21 04:43 PM,0,0,0,0,0,99591,23326,0,191518
None,ARM-software,HPCG_for_Arm,,https://github.com/ARM-software/HPCG_for_Arm.git,03/19/21 04:43 PM,0,0,0,67,0,4569,680,0,7017
None,SuryaGrandhi,oct9,,https://github.com/SuryaGrandhi/oct9.git,03/19/21 04:43 PM,40,0,629,179,0,69026,27009,0,682168
None,Shigangli,eager-SGD,,https://github.com/Shigangli/eager-SGD.git,03/19/21 04:43 PM,0,0,0,1,4294,2740,1597,0,48256
None,ppanchap13,portals4,,https://github.com/ppanchap13/portals4.git,03/19/21 04:43 PM,0,0,0,0,42723,0,6717,0,89895
None,hummingtree,cps-public,,https://github.com/hummingtree/cps-public.git,03/19/21 04:43 PM,0,0,0,269,23266,145077,35698,0,330593
None,jyamu,qmc,,https://github.com/jyamu/qmc.git,03/19/21 04:43 PM,0,0,210,170,14950,122640,162285,6378,467127
None,lavenderca,scipion-docker,,https://github.com/lavenderca/scipion-docker.git,03/19/21 04:43 PM,0,0,0,0,1299,384022,59451,0,689304
None,katbird830,BirdCMDA3634,,https://github.com/katbird830/BirdCMDA3634.git,03/19/21 04:43 PM,0,0,12,25,37213,0,3152,398,220100
None,wavefunction91,GauXC,,https://github.com/wavefunction91/GauXC.git,03/19/21 04:43 PM,0,0,62,6,0,4991,4041,0,11519
None,Rudedaisy,simgrid-v3.25,,https://github.com/Rudedaisy/simgrid-v3.25.git,03/19/21 04:43 PM,0,0,0,0,89282,72999,33314,11184,246769
